,Distance_0.01,Distance_0.025,Distance_0.05,Distance_0.075,Distance_0.1,Distance_0.125,Distance_0.15,Distance_0.175,Distance_0.2,Distance_0.225,Distance_0.25,Distance_0.275,Distance_0.3
Total,"Cov: 17.95%
Acc: 81.29%","Cov: 28.78%
Acc: 67.61%","Cov: 45.56%
Acc: 56.09%","Cov: 59.97%
Acc: 50.63%","Cov: 71.66%
Acc: 47.30%","Cov: 80.28%
Acc: 44.91%","Cov: 85.19%
Acc: 43.76%","Cov: 88.79%
Acc: 42.89%","Cov: 91.31%
Acc: 42.32%","Cov: 93.03%
Acc: 41.94%","Cov: 94.34%
Acc: 41.65%","Cov: 95.42%
Acc: 41.41%","Cov: 96.21%
Acc: 41.23%"
Class_0,"Cov: 16.49%
Acc: 66.84%","Cov: 27.75%
Acc: 53.60%","Cov: 40.35%
Acc: 44.19%","Cov: 50.81%
Acc: 40.20%","Cov: 62.53%
Acc: 37.07%","Cov: 72.55%
Acc: 35.14%","Cov: 79.06%
Acc: 34.03%","Cov: 84.69%
Acc: 33.18%","Cov: 89.16%
Acc: 32.57%","Cov: 91.71%
Acc: 32.29%","Cov: 93.71%
Acc: 32.04%","Cov: 95.41%
Acc: 31.78%","Cov: 96.43%
Acc: 31.64%"
Class_1,"Cov: 44.69%
Acc: 94.23%","Cov: 51.14%
Acc: 87.34%","Cov: 61.92%
Acc: 77.18%","Cov: 71.60%
Acc: 70.72%","Cov: 79.91%
Acc: 66.21%","Cov: 86.40%
Acc: 62.88%","Cov: 89.70%
Acc: 61.48%","Cov: 92.16%
Acc: 60.48%","Cov: 93.83%
Acc: 59.77%","Cov: 95.12%
Acc: 59.35%","Cov: 96.16%
Acc: 59.03%","Cov: 97.03%
Acc: 58.80%","Cov: 97.63%
Acc: 58.57%"
Class_2,"Cov: 10.17%
Acc: 52.00%","Cov: 19.66%
Acc: 39.03%","Cov: 33.98%
Acc: 31.86%","Cov: 48.16%
Acc: 29.17%","Cov: 60.83%
Acc: 27.57%","Cov: 70.82%
Acc: 26.62%","Cov: 76.78%
Acc: 26.26%","Cov: 81.56%
Acc: 25.77%","Cov: 85.21%
Acc: 25.50%","Cov: 87.70%
Acc: 25.42%","Cov: 89.86%
Acc: 25.32%","Cov: 91.53%
Acc: 25.25%","Cov: 92.77%
Acc: 25.15%"
Class_3,"Cov: 8.62%
Acc: 48.60%","Cov: 17.88%
Acc: 33.87%","Cov: 33.48%
Acc: 24.30%","Cov: 50.45%
Acc: 21.52%","Cov: 67.39%
Acc: 21.19%","Cov: 78.31%
Acc: 20.27%","Cov: 84.45%
Acc: 19.75%","Cov: 88.95%
Acc: 19.33%","Cov: 92.06%
Acc: 19.09%","Cov: 93.80%
Acc: 18.93%","Cov: 95.42%
Acc: 18.76%","Cov: 96.38%
Acc: 18.66%","Cov: 97.03%
Acc: 18.58%"
Class_4,"Cov: 20.73%
Acc: 63.54%","Cov: 33.48%
Acc: 49.91%","Cov: 48.29%
Acc: 41.30%","Cov: 61.23%
Acc: 37.72%","Cov: 72.49%
Acc: 35.59%","Cov: 80.83%
Acc: 34.34%","Cov: 85.90%
Acc: 33.94%","Cov: 89.69%
Acc: 33.53%","Cov: 92.37%
Acc: 33.24%","Cov: 94.36%
Acc: 33.05%","Cov: 95.67%
Acc: 32.79%","Cov: 96.69%
Acc: 32.63%","Cov: 97.39%
Acc: 32.49%"
Class_5,"Cov: 15.80%
Acc: 71.28%","Cov: 32.40%
Acc: 50.15%","Cov: 54.59%
Acc: 37.69%","Cov: 67.36%
Acc: 33.20%","Cov: 75.35%
Acc: 31.07%","Cov: 80.62%
Acc: 29.86%","Cov: 84.00%
Acc: 29.24%","Cov: 86.94%
Acc: 28.75%","Cov: 89.10%
Acc: 28.39%","Cov: 90.71%
Acc: 28.19%","Cov: 92.11%
Acc: 28.00%","Cov: 93.26%
Acc: 27.85%","Cov: 94.17%
Acc: 27.76%"
Class_6,"Cov: 30.06%
Acc: 98.68%","Cov: 42.05%
Acc: 96.81%","Cov: 58.38%
Acc: 91.94%","Cov: 72.46%
Acc: 87.88%","Cov: 82.48%
Acc: 83.77%","Cov: 89.65%
Acc: 79.94%","Cov: 93.52%
Acc: 77.80%","Cov: 95.68%
Acc: 76.66%","Cov: 97.16%
Acc: 75.95%","Cov: 98.04%
Acc: 75.44%","Cov: 98.64%
Acc: 75.04%","Cov: 99.05%
Acc: 74.78%","Cov: 99.32%
Acc: 74.62%"
Class_7,"Cov: 11.30%
Acc: 69.16%","Cov: 22.98%
Acc: 54.45%","Cov: 38.49%
Acc: 42.83%","Cov: 52.20%
Acc: 36.78%","Cov: 64.33%
Acc: 33.78%","Cov: 73.74%
Acc: 32.21%","Cov: 79.56%
Acc: 31.31%","Cov: 83.80%
Acc: 30.64%","Cov: 86.92%
Acc: 30.30%","Cov: 89.25%
Acc: 29.98%","Cov: 91.06%
Acc: 29.78%","Cov: 92.63%
Acc: 29.68%","Cov: 93.87%
Acc: 29.62%"
Class_8,"Cov: 14.06%
Acc: 61.71%","Cov: 26.39%
Acc: 46.37%","Cov: 45.59%
Acc: 35.12%","Cov: 61.83%
Acc: 30.19%","Cov: 74.20%
Acc: 28.36%","Cov: 82.93%
Acc: 27.34%","Cov: 87.28%
Acc: 27.18%","Cov: 90.46%
Acc: 26.83%","Cov: 92.60%
Acc: 26.63%","Cov: 93.90%
Acc: 26.59%","Cov: 95.03%
Acc: 26.42%","Cov: 96.07%
Acc: 26.25%","Cov: 96.75%
Acc: 26.14%"
