,Similarity_0.9,Similarity_0.91,Similarity_0.92,Similarity_0.93,Similarity_0.94,Similarity_0.95,Similarity_0.96,Similarity_0.97,Similarity_0.98,Similarity_0.99,Similarity_0.991,Similarity_0.992,Similarity_0.993,Similarity_0.994,Similarity_0.995,Similarity_0.996,Similarity_0.997,Similarity_0.998,Similarity_0.999
Total,"Cov: 95.44%
Acc: 72.01%","Cov: 89.82%
Acc: 74.10%","Cov: 80.98%
Acc: 77.13%","Cov: 69.71%
Acc: 80.55%","Cov: 57.96%
Acc: 83.67%","Cov: 47.51%
Acc: 85.65%","Cov: 38.26%
Acc: 86.55%","Cov: 29.97%
Acc: 86.80%","Cov: 22.70%
Acc: 86.34%","Cov: 17.28%
Acc: 86.33%","Cov: 16.82%
Acc: 86.43%","Cov: 16.39%
Acc: 86.37%","Cov: 15.97%
Acc: 86.33%","Cov: 15.53%
Acc: 86.33%","Cov: 15.01%
Acc: 86.45%","Cov: 14.47%
Acc: 86.59%","Cov: 13.85%
Acc: 86.92%","Cov: 13.14%
Acc: 86.84%","Cov: 11.49%
Acc: 87.32%"
Class_0,"Cov: 96.30%
Acc: 64.69%","Cov: 91.61%
Acc: 66.07%","Cov: 83.23%
Acc: 67.74%","Cov: 69.90%
Acc: 69.40%","Cov: 53.99%
Acc: 70.32%","Cov: 39.97%
Acc: 70.84%","Cov: 29.49%
Acc: 70.11%","Cov: 22.16%
Acc: 68.85%","Cov: 16.49%
Acc: 67.98%","Cov: 11.71%
Acc: 69.12%","Cov: 11.17%
Acc: 69.27%","Cov: 10.72%
Acc: 69.22%","Cov: 10.24%
Acc: 68.90%","Cov: 9.79%
Acc: 68.85%","Cov: 9.26%
Acc: 68.72%","Cov: 8.69%
Acc: 68.64%","Cov: 8.03%
Acc: 68.67%","Cov: 7.21%
Acc: 67.64%","Cov: 5.66%
Acc: 65.51%"
Class_1,"Cov: 94.34%
Acc: 75.20%","Cov: 89.16%
Acc: 77.78%","Cov: 82.20%
Acc: 81.36%","Cov: 74.98%
Acc: 85.37%","Cov: 68.87%
Acc: 88.62%","Cov: 64.00%
Acc: 90.64%","Cov: 59.30%
Acc: 91.77%","Cov: 54.64%
Acc: 92.50%","Cov: 50.55%
Acc: 92.99%","Cov: 46.60%
Acc: 94.15%","Cov: 46.25%
Acc: 94.23%","Cov: 45.93%
Acc: 94.26%","Cov: 45.62%
Acc: 94.29%","Cov: 45.25%
Acc: 94.35%","Cov: 44.88%
Acc: 94.53%","Cov: 44.58%
Acc: 94.73%","Cov: 43.87%
Acc: 95.03%","Cov: 42.53%
Acc: 95.19%","Cov: 41.12%
Acc: 95.78%"
Class_2,"Cov: 94.02%
Acc: 60.41%","Cov: 87.57%
Acc: 62.96%","Cov: 77.41%
Acc: 66.89%","Cov: 65.49%
Acc: 70.78%","Cov: 53.17%
Acc: 74.22%","Cov: 42.30%
Acc: 75.87%","Cov: 33.32%
Acc: 75.48%","Cov: 24.96%
Acc: 73.60%","Cov: 16.99%
Acc: 71.05%","Cov: 10.42%
Acc: 68.60%","Cov: 9.69%
Acc: 68.29%","Cov: 9.21%
Acc: 67.56%","Cov: 8.78%
Acc: 67.27%","Cov: 8.47%
Acc: 66.48%","Cov: 8.19%
Acc: 66.20%","Cov: 7.83%
Acc: 65.33%","Cov: 7.28%
Acc: 65.06%","Cov: 6.80%
Acc: 64.03%","Cov: 5.80%
Acc: 63.04%"
Class_3,"Cov: 92.32%
Acc: 53.92%","Cov: 83.16%
Acc: 55.97%","Cov: 69.76%
Acc: 59.25%","Cov: 54.77%
Acc: 63.54%","Cov: 40.92%
Acc: 67.43%","Cov: 29.87%
Acc: 68.99%","Cov: 22.51%
Acc: 69.27%","Cov: 16.58%
Acc: 69.11%","Cov: 12.38%
Acc: 68.55%","Cov: 8.68%
Acc: 66.79%","Cov: 8.25%
Acc: 66.67%","Cov: 7.91%
Acc: 65.85%","Cov: 7.69%
Acc: 65.75%","Cov: 7.38%
Acc: 65.03%","Cov: 6.68%
Acc: 63.49%","Cov: 6.05%
Acc: 62.59%","Cov: 5.72%
Acc: 62.58%","Cov: 5.31%
Acc: 61.85%","Cov: 3.82%
Acc: 54.18%"
Class_4,"Cov: 95.52%
Acc: 58.46%","Cov: 89.41%
Acc: 60.45%","Cov: 80.19%
Acc: 62.94%","Cov: 69.01%
Acc: 65.29%","Cov: 58.20%
Acc: 66.85%","Cov: 48.68%
Acc: 66.95%","Cov: 40.75%
Acc: 66.65%","Cov: 33.15%
Acc: 65.97%","Cov: 27.06%
Acc: 66.48%","Cov: 19.43%
Acc: 66.94%","Cov: 18.93%
Acc: 67.22%","Cov: 18.43%
Acc: 67.31%","Cov: 17.70%
Acc: 67.13%","Cov: 17.23%
Acc: 67.03%","Cov: 16.68%
Acc: 66.91%","Cov: 15.81%
Acc: 67.56%","Cov: 14.71%
Acc: 67.24%","Cov: 13.87%
Acc: 67.15%","Cov: 11.59%
Acc: 65.65%"
Class_5,"Cov: 95.93%
Acc: 66.96%","Cov: 90.61%
Acc: 68.79%","Cov: 81.82%
Acc: 71.79%","Cov: 70.00%
Acc: 74.89%","Cov: 55.98%
Acc: 77.76%","Cov: 41.59%
Acc: 79.44%","Cov: 29.44%
Acc: 79.48%","Cov: 19.49%
Acc: 78.12%","Cov: 12.37%
Acc: 76.14%","Cov: 8.56%
Acc: 73.46%","Cov: 8.26%
Acc: 73.32%","Cov: 8.00%
Acc: 72.95%","Cov: 7.75%
Acc: 72.81%","Cov: 7.40%
Acc: 72.96%","Cov: 7.05%
Acc: 73.03%","Cov: 6.70%
Acc: 72.64%","Cov: 6.22%
Acc: 72.60%","Cov: 5.76%
Acc: 72.83%","Cov: 4.88%
Acc: 74.99%"
Class_6,"Cov: 98.63%
Acc: 95.10%","Cov: 97.36%
Acc: 95.81%","Cov: 95.68%
Acc: 96.63%","Cov: 93.68%
Acc: 97.41%","Cov: 90.63%
Acc: 98.15%","Cov: 86.22%
Acc: 98.54%","Cov: 79.10%
Acc: 98.76%","Cov: 68.84%
Acc: 98.89%","Cov: 52.61%
Acc: 98.83%","Cov: 39.78%
Acc: 98.66%","Cov: 38.90%
Acc: 98.64%","Cov: 38.02%
Acc: 98.64%","Cov: 37.18%
Acc: 98.64%","Cov: 36.24%
Acc: 98.61%","Cov: 35.27%
Acc: 98.61%","Cov: 34.27%
Acc: 98.64%","Cov: 33.45%
Acc: 98.74%","Cov: 32.47%
Acc: 98.75%","Cov: 30.15%
Acc: 98.95%"
Class_7,"Cov: 95.46%
Acc: 68.03%","Cov: 88.75%
Acc: 69.47%","Cov: 77.16%
Acc: 71.63%","Cov: 61.69%
Acc: 74.54%","Cov: 46.82%
Acc: 77.92%","Cov: 35.40%
Acc: 80.19%","Cov: 26.43%
Acc: 80.83%","Cov: 18.43%
Acc: 79.35%","Cov: 11.60%
Acc: 73.86%","Cov: 7.40%
Acc: 66.29%","Cov: 7.07%
Acc: 65.78%","Cov: 6.81%
Acc: 65.00%","Cov: 6.45%
Acc: 63.78%","Cov: 6.22%
Acc: 62.95%","Cov: 5.84%
Acc: 62.31%","Cov: 5.55%
Acc: 61.37%","Cov: 5.13%
Acc: 61.28%","Cov: 4.50%
Acc: 57.54%","Cov: 3.78%
Acc: 56.24%"
Class_8,"Cov: 92.78%
Acc: 54.74%","Cov: 84.48%
Acc: 56.97%","Cov: 71.57%
Acc: 60.68%","Cov: 57.33%
Acc: 66.08%","Cov: 44.75%
Acc: 71.18%","Cov: 35.26%
Acc: 73.69%","Cov: 27.26%
Acc: 74.23%","Cov: 20.35%
Acc: 73.78%","Cov: 15.14%
Acc: 70.83%","Cov: 11.48%
Acc: 68.84%","Cov: 11.08%
Acc: 68.68%","Cov: 10.86%
Acc: 68.38%","Cov: 10.27%
Acc: 67.02%","Cov: 9.94%
Acc: 66.83%","Cov: 9.64%
Acc: 67.19%","Cov: 8.83%
Acc: 66.58%","Cov: 8.08%
Acc: 67.27%","Cov: 7.41%
Acc: 65.48%","Cov: 5.65%
Acc: 60.45%"
