,Similarity_0.9,Similarity_0.91,Similarity_0.92,Similarity_0.93,Similarity_0.94,Similarity_0.95,Similarity_0.96,Similarity_0.97,Similarity_0.98,Similarity_0.99,Similarity_0.991,Similarity_0.992,Similarity_0.993,Similarity_0.994,Similarity_0.995,Similarity_0.996,Similarity_0.997,Similarity_0.998,Similarity_0.999
Total,"Cov: 67.23%
Acc: 72.17%","Cov: 54.19%
Acc: 76.77%","Cov: 41.89%
Acc: 81.89%","Cov: 32.00%
Acc: 86.25%","Cov: 24.79%
Acc: 89.08%","Cov: 19.22%
Acc: 90.55%","Cov: 14.90%
Acc: 91.44%","Cov: 11.05%
Acc: 91.68%","Cov: 8.51%
Acc: 92.33%","Cov: 6.48%
Acc: 92.66%","Cov: 6.36%
Acc: 92.90%","Cov: 6.24%
Acc: 93.22%","Cov: 6.16%
Acc: 93.34%","Cov: 5.99%
Acc: 93.38%","Cov: 5.85%
Acc: 93.65%","Cov: 5.68%
Acc: 93.87%","Cov: 5.53%
Acc: 94.16%","Cov: 4.64%
Acc: 93.34%","Cov: 4.11%
Acc: 93.97%"
Class_0,"Cov: 66.02%
Acc: 57.19%","Cov: 50.10%
Acc: 58.66%","Cov: 34.45%
Acc: 60.01%","Cov: 21.97%
Acc: 59.96%","Cov: 14.25%
Acc: 58.88%","Cov: 9.51%
Acc: 57.56%","Cov: 6.47%
Acc: 56.23%","Cov: 4.51%
Acc: 56.10%","Cov: 2.90%
Acc: 57.29%","Cov: 1.87%
Acc: 57.88%","Cov: 1.76%
Acc: 58.27%","Cov: 1.65%
Acc: 58.72%","Cov: 1.55%
Acc: 58.85%","Cov: 1.48%
Acc: 57.92%","Cov: 1.36%
Acc: 58.21%","Cov: 1.28%
Acc: 58.11%","Cov: 1.17%
Acc: 57.33%","Cov: 1.08%
Acc: 56.08%","Cov: 0.77%
Acc: 51.78%"
Class_1,"Cov: 67.47%
Acc: 79.12%","Cov: 58.69%
Acc: 85.15%","Cov: 52.01%
Acc: 90.45%","Cov: 47.00%
Acc: 93.69%","Cov: 41.83%
Acc: 95.17%","Cov: 37.95%
Acc: 96.23%","Cov: 35.75%
Acc: 96.84%","Cov: 33.75%
Acc: 97.18%","Cov: 32.20%
Acc: 97.59%","Cov: 30.84%
Acc: 97.95%","Cov: 30.76%
Acc: 98.02%","Cov: 30.68%
Acc: 98.13%","Cov: 30.64%
Acc: 98.16%","Cov: 29.67%
Acc: 98.13%","Cov: 29.50%
Acc: 98.21%","Cov: 29.37%
Acc: 98.33%","Cov: 29.19%
Acc: 98.47%","Cov: 25.79%
Acc: 98.24%","Cov: 25.40%
Acc: 98.63%"
Class_2,"Cov: 63.97%
Acc: 55.09%","Cov: 49.85%
Acc: 58.47%","Cov: 35.73%
Acc: 61.75%","Cov: 23.79%
Acc: 62.78%","Cov: 15.52%
Acc: 61.69%","Cov: 10.87%
Acc: 60.32%","Cov: 7.29%
Acc: 59.91%","Cov: 4.65%
Acc: 57.08%","Cov: 2.77%
Acc: 55.91%","Cov: 1.60%
Acc: 54.83%","Cov: 1.46%
Acc: 53.84%","Cov: 1.36%
Acc: 53.94%","Cov: 1.28%
Acc: 51.84%","Cov: 1.22%
Acc: 50.69%","Cov: 1.17%
Acc: 51.43%","Cov: 1.11%
Acc: 50.36%","Cov: 1.05%
Acc: 50.42%","Cov: 0.97%
Acc: 48.71%","Cov: 0.82%
Acc: 45.81%"
Class_3,"Cov: 52.46%
Acc: 43.62%","Cov: 36.96%
Acc: 47.04%","Cov: 23.65%
Acc: 51.65%","Cov: 14.31%
Acc: 56.29%","Cov: 8.91%
Acc: 59.66%","Cov: 5.92%
Acc: 58.47%","Cov: 4.33%
Acc: 58.21%","Cov: 3.05%
Acc: 57.69%","Cov: 1.98%
Acc: 55.99%","Cov: 1.32%
Acc: 55.21%","Cov: 1.24%
Acc: 54.67%","Cov: 1.16%
Acc: 54.66%","Cov: 1.13%
Acc: 53.92%","Cov: 1.09%
Acc: 53.02%","Cov: 0.93%
Acc: 50.38%","Cov: 0.86%
Acc: 49.68%","Cov: 0.81%
Acc: 48.90%","Cov: 0.75%
Acc: 47.63%","Cov: 0.53%
Acc: 40.70%"
Class_4,"Cov: 62.53%
Acc: 54.14%","Cov: 48.53%
Acc: 55.66%","Cov: 36.14%
Acc: 57.93%","Cov: 27.24%
Acc: 58.52%","Cov: 20.71%
Acc: 58.85%","Cov: 15.86%
Acc: 59.05%","Cov: 11.85%
Acc: 59.80%","Cov: 8.36%
Acc: 59.21%","Cov: 5.32%
Acc: 59.52%","Cov: 3.29%
Acc: 56.39%","Cov: 3.20%
Acc: 56.29%","Cov: 3.05%
Acc: 57.40%","Cov: 2.93%
Acc: 56.77%","Cov: 2.85%
Acc: 57.43%","Cov: 2.73%
Acc: 56.59%","Cov: 2.51%
Acc: 57.25%","Cov: 2.30%
Acc: 57.01%","Cov: 2.20%
Acc: 56.01%","Cov: 1.66%
Acc: 53.06%"
Class_5,"Cov: 64.24%
Acc: 64.16%","Cov: 48.53%
Acc: 67.77%","Cov: 32.98%
Acc: 71.73%","Cov: 20.71%
Acc: 75.21%","Cov: 12.72%
Acc: 77.77%","Cov: 7.48%
Acc: 77.56%","Cov: 4.54%
Acc: 76.16%","Cov: 2.72%
Acc: 72.44%","Cov: 1.76%
Acc: 68.98%","Cov: 1.24%
Acc: 63.34%","Cov: 1.18%
Acc: 62.16%","Cov: 1.13%
Acc: 61.93%","Cov: 1.09%
Acc: 61.95%","Cov: 1.06%
Acc: 62.37%","Cov: 0.99%
Acc: 62.70%","Cov: 0.95%
Acc: 62.27%","Cov: 0.89%
Acc: 62.06%","Cov: 0.83%
Acc: 60.53%","Cov: 0.67%
Acc: 62.28%"
Class_6,"Cov: 93.87%
Acc: 97.78%","Cov: 92.03%
Acc: 98.43%","Cov: 89.30%
Acc: 99.01%","Cov: 85.26%
Acc: 99.38%","Cov: 78.97%
Acc: 99.59%","Cov: 70.48%
Acc: 99.66%","Cov: 58.23%
Acc: 99.67%","Cov: 42.25%
Acc: 99.57%","Cov: 31.90%
Acc: 99.60%","Cov: 22.46%
Acc: 99.44%","Cov: 22.16%
Acc: 99.43%","Cov: 22.01%
Acc: 99.48%","Cov: 21.85%
Acc: 99.48%","Cov: 21.54%
Acc: 99.49%","Cov: 21.26%
Acc: 99.48%","Cov: 20.82%
Acc: 99.50%","Cov: 20.58%
Acc: 99.56%","Cov: 15.53%
Acc: 99.40%","Cov: 14.40%
Acc: 99.48%"
Class_7,"Cov: 60.29%
Acc: 62.78%","Cov: 42.11%
Acc: 65.43%","Cov: 25.99%
Acc: 69.59%","Cov: 15.59%
Acc: 74.23%","Cov: 9.98%
Acc: 76.91%","Cov: 6.61%
Acc: 76.83%","Cov: 4.47%
Acc: 73.68%","Cov: 2.91%
Acc: 66.32%","Cov: 1.89%
Acc: 56.25%","Cov: 1.27%
Acc: 46.39%","Cov: 1.20%
Acc: 46.34%","Cov: 1.14%
Acc: 45.66%","Cov: 1.10%
Acc: 44.95%","Cov: 1.06%
Acc: 44.26%","Cov: 1.00%
Acc: 43.78%","Cov: 0.97%
Acc: 42.83%","Cov: 0.88%
Acc: 41.50%","Cov: 0.73%
Acc: 37.90%","Cov: 0.62%
Acc: 36.82%"
Class_8,"Cov: 47.15%
Acc: 44.90%","Cov: 31.78%
Acc: 48.76%","Cov: 20.28%
Acc: 54.95%","Cov: 13.34%
Acc: 61.97%","Cov: 9.17%
Acc: 65.42%","Cov: 6.36%
Acc: 66.04%","Cov: 4.36%
Acc: 65.06%","Cov: 2.92%
Acc: 63.61%","Cov: 2.11%
Acc: 58.21%","Cov: 1.61%
Acc: 55.37%","Cov: 1.55%
Acc: 55.41%","Cov: 1.49%
Acc: 55.33%","Cov: 1.43%
Acc: 54.29%","Cov: 1.39%
Acc: 54.17%","Cov: 1.33%
Acc: 55.12%","Cov: 1.20%
Acc: 54.24%","Cov: 1.04%
Acc: 55.55%","Cov: 0.95%
Acc: 51.77%","Cov: 0.70%
Acc: 50.04%"
Class_9,"Cov: 54.58%
Acc: 51.55%","Cov: 36.55%
Acc: 53.61%","Cov: 21.84%
Acc: 55.34%","Cov: 11.96%
Acc: 56.96%","Cov: 6.13%
Acc: 58.95%","Cov: 3.26%
Acc: 61.01%","Cov: 1.87%
Acc: 63.50%","Cov: 1.19%
Acc: 67.12%","Cov: 0.79%
Acc: 67.20%","Cov: 0.55%
Acc: 65.79%","Cov: 0.54%
Acc: 65.44%","Cov: 0.53%
Acc: 64.29%","Cov: 0.51%
Acc: 64.37%","Cov: 0.49%
Acc: 62.87%","Cov: 0.47%
Acc: 60.75%","Cov: 0.45%
Acc: 60.79%","Cov: 0.45%
Acc: 60.32%","Cov: 0.38%
Acc: 60.36%","Cov: 0.29%
Acc: 59.27%"
Class_10,"Cov: 67.22%
Acc: 68.27%","Cov: 50.42%
Acc: 71.29%","Cov: 33.30%
Acc: 74.81%","Cov: 20.27%
Acc: 78.76%","Cov: 12.14%
Acc: 81.66%","Cov: 7.29%
Acc: 82.51%","Cov: 3.91%
Acc: 81.65%","Cov: 1.95%
Acc: 76.16%","Cov: 1.03%
Acc: 66.82%","Cov: 0.60%
Acc: 56.16%","Cov: 0.57%
Acc: 56.31%","Cov: 0.53%
Acc: 55.16%","Cov: 0.50%
Acc: 53.80%","Cov: 0.48%
Acc: 52.68%","Cov: 0.44%
Acc: 52.67%","Cov: 0.40%
Acc: 52.52%","Cov: 0.36%
Acc: 51.86%","Cov: 0.34%
Acc: 52.08%","Cov: 0.23%
Acc: 53.66%"
Class_11,"Cov: 62.75%
Acc: 62.99%","Cov: 47.67%
Acc: 66.38%","Cov: 33.63%
Acc: 69.79%","Cov: 23.09%
Acc: 72.13%","Cov: 16.25%
Acc: 72.45%","Cov: 11.65%
Acc: 71.59%","Cov: 9.37%
Acc: 72.81%","Cov: 7.84%
Acc: 74.27%","Cov: 6.58%
Acc: 76.58%","Cov: 5.13%
Acc: 78.08%","Cov: 4.99%
Acc: 78.31%","Cov: 4.83%
Acc: 78.47%","Cov: 4.67%
Acc: 78.00%","Cov: 4.31%
Acc: 77.19%","Cov: 4.10%
Acc: 77.21%","Cov: 3.74%
Acc: 75.68%","Cov: 3.39%
Acc: 74.94%","Cov: 2.93%
Acc: 73.26%","Cov: 2.29%
Acc: 70.82%"
Class_12,"Cov: 68.00%
Acc: 74.78%","Cov: 54.83%
Acc: 78.02%","Cov: 41.38%
Acc: 80.78%","Cov: 28.11%
Acc: 83.08%","Cov: 16.57%
Acc: 85.10%","Cov: 9.17%
Acc: 86.13%","Cov: 5.30%
Acc: 85.30%","Cov: 3.21%
Acc: 82.68%","Cov: 2.17%
Acc: 79.83%","Cov: 1.61%
Acc: 78.16%","Cov: 1.59%
Acc: 78.04%","Cov: 1.56%
Acc: 78.45%","Cov: 1.51%
Acc: 78.05%","Cov: 1.46%
Acc: 77.96%","Cov: 1.39%
Acc: 80.57%","Cov: 1.36%
Acc: 78.81%","Cov: 1.33%
Acc: 78.76%","Cov: 1.25%
Acc: 76.54%","Cov: 0.96%
Acc: 75.06%"
Class_13,"Cov: 79.64%
Acc: 82.54%","Cov: 70.97%
Acc: 86.35%","Cov: 60.91%
Acc: 89.60%","Cov: 49.71%
Acc: 91.60%","Cov: 36.67%
Acc: 91.60%","Cov: 22.75%
Acc: 89.04%","Cov: 11.46%
Acc: 83.55%","Cov: 5.11%
Acc: 75.30%","Cov: 2.53%
Acc: 67.86%","Cov: 1.63%
Acc: 66.17%","Cov: 1.55%
Acc: 65.91%","Cov: 1.48%
Acc: 66.59%","Cov: 1.39%
Acc: 66.09%","Cov: 1.34%
Acc: 66.79%","Cov: 1.29%
Acc: 66.75%","Cov: 1.21%
Acc: 66.19%","Cov: 1.15%
Acc: 66.51%","Cov: 0.92%
Acc: 63.11%","Cov: 0.70%
Acc: 60.54%"
