,Distance_0.1,Distance_0.25,Distance_0.5,Distance_0.75,Distance_1,Distance_1.25,Distance_1.5,Distance_1.75,Distance_2,Distance_2.25,Distance_2.5,Distance_2.75,Distance_3
Total,"Cov: 3.15%
Acc: 92.89%","Cov: 4.41%
Acc: 92.35%","Cov: 5.92%
Acc: 91.88%","Cov: 6.56%
Acc: 90.34%","Cov: 8.23%
Acc: 87.82%","Cov: 10.69%
Acc: 82.76%","Cov: 15.88%
Acc: 78.00%","Cov: 24.14%
Acc: 70.51%","Cov: 35.83%
Acc: 62.92%","Cov: 50.20%
Acc: 58.16%","Cov: 65.33%
Acc: 56.16%","Cov: 78.30%
Acc: 55.77%","Cov: 87.26%
Acc: 55.87%"
Class_0,"Cov: 0.66%
Acc: 50.59%","Cov: 1.02%
Acc: 51.98%","Cov: 1.56%
Acc: 52.72%","Cov: 2.16%
Acc: 52.10%","Cov: 3.41%
Acc: 46.30%","Cov: 5.44%
Acc: 41.43%","Cov: 8.84%
Acc: 39.18%","Cov: 14.66%
Acc: 35.31%","Cov: 25.12%
Acc: 34.19%","Cov: 40.79%
Acc: 35.83%","Cov: 59.72%
Acc: 38.67%","Cov: 76.82%
Acc: 41.13%","Cov: 88.05%
Acc: 42.69%"
Class_1,"Cov: 16.97%
Acc: 97.91%","Cov: 25.81%
Acc: 98.03%","Cov: 30.63%
Acc: 97.95%","Cov: 31.46%
Acc: 97.57%","Cov: 32.44%
Acc: 96.84%","Cov: 35.36%
Acc: 95.17%","Cov: 42.78%
Acc: 92.36%","Cov: 51.17%
Acc: 86.69%","Cov: 60.48%
Acc: 78.98%","Cov: 70.34%
Acc: 72.32%","Cov: 77.46%
Acc: 68.34%","Cov: 83.66%
Acc: 66.09%","Cov: 90.22%
Acc: 64.64%"
Class_2,"Cov: 0.64%
Acc: 44.36%","Cov: 0.91%
Acc: 42.62%","Cov: 1.24%
Acc: 44.43%","Cov: 1.75%
Acc: 41.31%","Cov: 3.25%
Acc: 36.57%","Cov: 6.08%
Acc: 32.80%","Cov: 10.04%
Acc: 31.84%","Cov: 16.63%
Acc: 29.06%","Cov: 26.51%
Acc: 26.15%","Cov: 38.49%
Acc: 25.43%","Cov: 51.47%
Acc: 27.04%","Cov: 64.39%
Acc: 29.18%","Cov: 75.61%
Acc: 31.66%"
Class_3,"Cov: 0.49%
Acc: 39.61%","Cov: 0.62%
Acc: 38.68%","Cov: 1.03%
Acc: 42.65%","Cov: 1.41%
Acc: 44.97%","Cov: 2.11%
Acc: 41.60%","Cov: 3.62%
Acc: 35.55%","Cov: 6.83%
Acc: 32.83%","Cov: 14.06%
Acc: 27.32%","Cov: 26.86%
Acc: 24.76%","Cov: 44.11%
Acc: 25.46%","Cov: 62.54%
Acc: 28.01%","Cov: 78.31%
Acc: 30.01%","Cov: 88.56%
Acc: 31.15%"
Class_4,"Cov: 1.34%
Acc: 49.48%","Cov: 1.92%
Acc: 49.00%","Cov: 2.89%
Acc: 50.22%","Cov: 4.06%
Acc: 51.67%","Cov: 7.44%
Acc: 51.35%","Cov: 13.15%
Acc: 48.48%","Cov: 20.14%
Acc: 43.00%","Cov: 28.17%
Acc: 38.95%","Cov: 38.78%
Acc: 36.67%","Cov: 54.05%
Acc: 36.95%","Cov: 71.24%
Acc: 38.82%","Cov: 84.07%
Acc: 40.20%","Cov: 91.31%
Acc: 41.10%"
Class_5,"Cov: 0.55%
Acc: 57.17%","Cov: 0.81%
Acc: 57.54%","Cov: 1.08%
Acc: 58.74%","Cov: 1.29%
Acc: 58.43%","Cov: 1.57%
Acc: 58.16%","Cov: 2.69%
Acc: 51.10%","Cov: 5.69%
Acc: 44.64%","Cov: 11.60%
Acc: 38.23%","Cov: 22.35%
Acc: 35.19%","Cov: 38.20%
Acc: 36.50%","Cov: 57.25%
Acc: 39.25%","Cov: 73.24%
Acc: 41.91%","Cov: 84.72%
Acc: 44.14%"
Class_6,"Cov: 12.13%
Acc: 99.37%","Cov: 14.79%
Acc: 99.22%","Cov: 20.80%
Acc: 99.34%","Cov: 22.02%
Acc: 99.30%","Cov: 29.51%
Acc: 99.34%","Cov: 34.73%
Acc: 98.48%","Cov: 47.62%
Acc: 98.22%","Cov: 62.85%
Acc: 97.26%","Cov: 74.95%
Acc: 95.62%","Cov: 83.66%
Acc: 93.97%","Cov: 88.95%
Acc: 92.81%","Cov: 92.08%
Acc: 92.50%","Cov: 94.34%
Acc: 92.47%"
Class_7,"Cov: 0.48%
Acc: 40.74%","Cov: 0.69%
Acc: 31.47%","Cov: 1.04%
Acc: 35.76%","Cov: 1.31%
Acc: 40.96%","Cov: 1.82%
Acc: 43.62%","Cov: 2.90%
Acc: 45.14%","Cov: 5.30%
Acc: 43.26%","Cov: 10.90%
Acc: 39.49%","Cov: 20.32%
Acc: 36.41%","Cov: 34.57%
Acc: 37.20%","Cov: 52.11%
Acc: 41.12%","Cov: 70.22%
Acc: 45.48%","Cov: 82.87%
Acc: 47.77%"
Class_8,"Cov: 0.61%
Acc: 45.54%","Cov: 0.91%
Acc: 42.26%","Cov: 1.35%
Acc: 47.26%","Cov: 1.84%
Acc: 46.94%","Cov: 2.67%
Acc: 44.09%","Cov: 4.75%
Acc: 36.68%","Cov: 8.29%
Acc: 32.86%","Cov: 16.00%
Acc: 29.83%","Cov: 27.98%
Acc: 28.25%","Cov: 45.37%
Acc: 30.64%","Cov: 63.89%
Acc: 33.72%","Cov: 78.06%
Acc: 35.73%","Cov: 86.70%
Acc: 36.52%"
Class_9,"Cov: 0.18%
Acc: 59.12%","Cov: 0.33%
Acc: 60.79%","Cov: 0.49%
Acc: 61.83%","Cov: 0.61%
Acc: 65.49%","Cov: 0.82%
Acc: 63.11%","Cov: 1.50%
Acc: 58.21%","Cov: 3.62%
Acc: 45.77%","Cov: 9.97%
Acc: 35.70%","Cov: 23.10%
Acc: 33.62%","Cov: 42.24%
Acc: 34.17%","Cov: 61.03%
Acc: 35.87%","Cov: 77.19%
Acc: 37.34%","Cov: 88.29%
Acc: 38.37%"
Class_10,"Cov: 0.22%
Acc: 52.10%","Cov: 0.31%
Acc: 42.53%","Cov: 0.47%
Acc: 44.05%","Cov: 0.60%
Acc: 45.93%","Cov: 0.89%
Acc: 45.36%","Cov: 1.56%
Acc: 45.01%","Cov: 3.22%
Acc: 41.52%","Cov: 7.42%
Acc: 32.52%","Cov: 15.58%
Acc: 29.79%","Cov: 28.01%
Acc: 32.24%","Cov: 45.54%
Acc: 36.08%","Cov: 63.79%
Acc: 40.35%","Cov: 77.70%
Acc: 43.77%"
Class_11,"Cov: 1.54%
Acc: 68.18%","Cov: 2.37%
Acc: 66.93%","Cov: 3.66%
Acc: 72.01%","Cov: 4.67%
Acc: 70.89%","Cov: 6.03%
Acc: 65.31%","Cov: 8.36%
Acc: 60.30%","Cov: 11.43%
Acc: 54.57%","Cov: 17.77%
Acc: 47.40%","Cov: 29.94%
Acc: 44.12%","Cov: 45.96%
Acc: 43.63%","Cov: 65.21%
Acc: 46.44%","Cov: 81.49%
Acc: 49.14%","Cov: 91.11%
Acc: 50.02%"
